position(agent, 7, 38).
position(enemy, 7, 39).
position(dark, 7, 40).
position(cloud, 7, 41).
position(floor, 7, 42).
position(cloud, 7, 43).
position(floor, 7, 44).
position(cloud, 7, 45).
position(floor, 7, 46).
position(dark, 7, 47).
position(dark, 7, 48).
position(floor, 8, 38).
position(floor, 8, 39).
position(dark, 8, 40).
position(cloud, 8, 41).
position(cloud, 8, 42).
position(dark, 8, 43).
position(floor, 8, 44).
position(dark, 8, 45).
position(tree, 8, 46).
position(dark, 8, 47).
position(dark, 8, 48).
position(cloud, 9, 38).
position(cloud, 9, 39).
position(dark, 9, 40).
position(dark, 9, 41).
position(cloud, 9, 42).
position(cloud, 9, 43).
position(floor, 9, 44).
position(dark, 9, 45).
position(dark, 9, 46).
position(dark, 9, 47).
position(tree, 9, 48).
position(dark, 10, 38).
position(dark, 10, 39).
position(tree, 10, 40).
position(dark, 10, 41).
position(dark, 10, 42).
position(cloud, 10, 43).
position(tree, 10, 44).
position(dark, 10, 45).
position(dark, 10, 46).
position(tree, 10, 47).
position(cloud, 10, 48).
position(dark, 11, 38).
position(dark, 11, 39).
position(cloud, 11, 40).
position(cloud, 11, 41).
position(cloud, 11, 42).
position(dark, 11, 43).
position(dark, 11, 44).
position(dark, 11, 45).
position(dark, 11, 46).
position(cloud, 11, 47).
position(floor, 11, 48).
position(dark, 12, 38).
position(tree, 12, 39).
position(cloud, 12, 40).
position(dark, 12, 41).
position(dark, 12, 42).
position(cloud, 12, 43).
position(dark, 12, 44).
position(dark, 12, 45).
position(dark, 12, 46).
position(cloud, 12, 47).
position(floor, 12, 48).
position(dark, 13, 38).
position(cloud, 13, 39).
position(dark, 13, 40).
position(dark, 13, 41).
position(dark, 13, 42).
position(dark, 13, 43).
position(up_stairs, 13, 44).
position(dark, 13, 45).
position(cloud, 13, 46).
position(floor, 13, 47).
position(floor, 13, 48).
position(dark, 14, 38).
position(dark, 14, 39).
position(dark, 14, 40).
position(dark, 14, 41).
position(tree, 14, 42).
position(tree, 14, 43).
position(cloud, 14, 44).
position(tree, 14, 45).
position(dark, 14, 46).
position(dark, 14, 47).
position(floor, 14, 48).
position(dark, 15, 38).
position(dark, 15, 39).
position(dark, 15, 40).
position(dark, 15, 41).
position(floor, 15, 42).
position(floor, 15, 43).
position(cloud, 15, 44).
position(floor, 15, 45).
position(floor, 15, 46).
position(cloud, 15, 47).
position(floor, 15, 48).
